Login,Name,Website on GitHub,Email,Sub-tier,Sub-tier_URL,Department/Independent Agency,Department/Independent Agency_URL,Notes,Other Websites
cmsgov,Centers for Medicare & Medicaid Services,http://cms.gov,,Centers for Medicare & Medicaid Services,https://www.cms.gov/,U.S. Department of Health and Human Services,https://www.hhs.gov/,,
commercedataservice,Commerce Data Service,,,,,U.S. Department of Commerce,https://www.commerce.gov/,"U.S. Department of Commerce's data research and technology consultancy, focused on advising and building data products in America's Data Agency.",
commercegov,The U.S. Department of Commerce,https://www.commerce.gov,webmaster@doc.gov,,,U.S. Department of Commerce,https://www.commerce.gov/,,
CRREL,Cold Regions Research & Engineering Lab,https://www.erdc.usace.army.mil/Locations/CRREL/,,U.S. Army Corps of Engineers,https://www.usace.army.mil/,U.S. Department of Defense,https://www.defense.gov/,"The Cold Regions Research and Engineering Laboratory (CRREL) is a United States Army Corps of Engineers, Engineer Research and Development Center research facility headquartered in Hanover, New Hampshire, that provides scientific and engineering support to the U.S. government and its military with a core emphasis on cold environments.",
defense-cyber-crime-center,Defense Cyber Crime Center (DC3),http://www.dc3.mil,info@dc3.mil,Department of Defense Cyber Crime Center (DC3),https://www.dc3.mil/,U.S. Department of Defense,https://www.defense.gov/,"DC3’s mission is to deliver superior digital and multimedia (D/MM) forensic services, cyber technical training, vulnerability sharing, technical solutions development, and cyber analysis within the following DoD mission areas: cybersecurity and critical infrastructure protection, law enforcement and counterintelligence, document and media exploitation, and counterterrorism.",
demand-driven-open-data,Demand-Driven Open Data (DDOD),,demand.driven.open.data@gmail.com,Health Data Initiative,https://healthdata.gov/,U.S. Department of Health and Human Services,https://www.hhs.gov/,"Demand-Driven Open Data (DDOD) is a component of the U.S. Department of Health and Human Services (HHS) Health Data Initiative (***) (HDI) represented publicly by HealthData.gov. DDOD is a framework of tools and methods to provide a systematic, ongoing and transparent mechanism for industry and academia to tell HHS more about their data needs.",
department-of-veterans-affairs,Department of Veterans Affairs,https://va.gov,,,,U.S. Department of Veterans Affairs,https://www.va.gov/,,
deptofdefense,U.S. Dept of Defense,https://dds.mil,code@dds.mil,Defense Digital Service,https://dds.mil/,U.S. Department of Defense,https://www.defense.gov/,Defense Digital Service (DDS) was established by the Secretary of Defense in November 2015 as a SWAT team of nerds that provides the best in modern technical knowledge to bolster national defense.,
didsr,"DIDSR, Kyle Myers director",http://www.fda.gov/AboutFDA/CentersOffices/OfficeofMedicalProductsandTobacco/CDRH/CDRHOffices/ucm299950.htm,,Food and Drug Administration,https://www.fda.gov/,U.S. Department of Health and Human Services,https://www.hhs.gov/,"FDA, CDRH, OSEL, Division of Imaging, Diagnostics, and Software Reliability. The Division of Imaging, Diagnostics, and Software Reliability (DIDSR) within CDRH’s Office of Science and Engineering Laboratories (OSEL) develops methods for evaluating the image quality of emerging imaging systems; develops methods for characterizing new medical image display devices; evaluates the dose reduction potential of new image reconstruction methods, and assesses the performance of Artificial Intelligence and Machine Learning algorithms.",
digital-analytics-program,Digital Analytics Program,https://digital.gov/dap,dap@support.digitalgov.gov,Technology Transformation Services,https://www.gsa.gov/about-us/organization/federal-acquisition-service/technology-transformation-services,General Services Administration,https://www.gsa.gov/,"The Digital Analytics Program (DAP) offers a web analytics tool, training, and support to federal agencies. The program is a shared service provided by the Technology Transformation Services (TTS) at the U.S. General Services Administration (GSA).",
doecode,DOE CODE,https://www.osti.gov/doecode/,doecoderepositories@osti.gov,Office of Scientific and Technical Information,https://www.osti.gov/,U.S. Department of Energy,https://www.energy.gov/,DOE code repositories collected and preserved by the USDOE Office of Scientific and Technical Information. To join email doecoderepositories@osti.gov.,
EEOC,EEOC,,,,,,,,
energyapps,E APPS,https://energy.gov/maps,,,,U.S. Department of Energy,https://www.energy.gov/,The U.S. Department of Energy's Interactive Graphics,
erdc,US Army Engineer Research and Development Center,http://www.erdc.usace.army.mil,,U.S. Army Corps of Engineers,https://www.usace.army.mil/,U.S. Department of Defense,https://www.defense.gov/,,
erdc-itl,ERDC ITL,http://www.erdc.usace.army.mil/,,U.S. Army Corps of Engineers,https://www.usace.army.mil/,U.S. Department of Defense,https://www.defense.gov/,"Engineer Research and Development Center, Information Technology Laboratory",
eregs,eRegulations,,eregs@gsa.gov,18F,https://18f.gsa.gov/,General Services Administration,https://www.gsa.gov/,"eRegulations (eRegs) is a web-based application that makes regulations easier to find, read, and understand. This open source platform was built by the Consumer Financial Protection Bureau and 18F, and is in the public domain.",
fcc,The Federal Communications Commission,https://fcc.gov,developer@fcc.gov,,,Federal Communications Commission,https://www.fcc.gov/,,
fda,Food and Drug Administration,http://www.fda.gov/privacy,open@fda.hhs.gov,Food and Drug Administration,https://www.fda.gov/,U.S. Department of Health and Human Services,https://www.hhs.gov/,The official GitHub page for the US Food and Drug Administration. Privacy Policy @ http://www.fda.gov/privacy,
fecgov,Federal Election Commission,http://www.fec.gov/,webmanager@fec.gov,,,Federal Election Commission,https://www.fcc.gov/,,
Federal-Aviation-Administration,Federal Aviation Administration (FAA),https://www.faa.gov,,Federal Aviation Administration,https://www.faa.gov/,U.S. Department of Transportation,https://www.transportation.gov/,,
federaltradecommission,Federal Trade Commission,http://www.ftc.gov,,,,Federal Trade Commission,https://www.ftc.gov,FTC is a bipartisan federal agency w/ a dual mission to protect consumers and promote competition.,
fedspendingtransparency,fedspendingtransparency,,,,,U.S. Department of the Treasury,https://home.treasury.gov/,The Federal Spending Transparency is a collaboration space to opely share the process for meeting the data transparency requirements of teh DATA Act. The U.S. Department of the Treasury and the Office of Management and Budget are leading the government-wide implementation of the DATA Act.,USAspending.gov
firelab,RMRS Missoula Fire Sciences Lab,http://firelab.org,firelabmissoula@gmail.com,U.S. Forest Service,https://www.fs.usda.gov/,U.S. Department of Agriculture,https://www.usda.gov,"Fire, Fuel, Smike Science Program; Rocky Mountain Research Station",
globegit,The GLOBE Program,http://globe.gov,,,,National Aeronautics and Space Administration,https://www.nasa.gov/,"The Global Learning and Observations to Benefit the Environment (GLOBE) Program is an international science and education program that provides students and the public worldwide with the opportunity to participate in data collection and the scientific process, and contribute meaningfully to our understanding of the Earth system and global environment. Announced by the U.S. Government on Earth Day in 1994, GLOBE launched its worldwide implementation in 1995. GLOBE is sponsored by the U.S. National Aeronautics and Space Administration (NASA) with support from the National Science Foundation (NSF), National Oceanic and Atmospheric Administration (NOAA) and Department of State.",
gopleader,House Majority Leader,https://twitter.com/ericcantor,,,,U.S. House of Representatives,https://www.house.gov/,Archived repositories for former House Majority Leader Eric Cantor.,
government-services,government-services,,,,,General Services Administration,https://www.gsa.gov/,,
GrainGenes,"GrainGenes, USDA-ARS",https://wheat.pw.usda.gov,,Agriculture Research Service,https://www.ars.usda.gov/,U.S. Department of Agriculture,https://www.usda.gov,GrainGenes public projects - A Database for Triticeae and Avena,
gsa,U.S. General Services Administration,https://open.gsa.gov,gsa-github.support@gsa.gov,,,General Services Administration,https://www.gsa.gov/,The U.S. General Services Administration,
gsa-oes,Office of Evaluation Sciences at GSA,https://oes.gsa.gov,oes@gsa.gov,Office of Evaluation Sciences,https://oes.gsa.gov/,General Services Administration,https://www.gsa.gov/,Work of the Office of Evaluation Sciences at GSA.,
hhs,U.S. Department of Health & Human Services,https://www.hhs.gov/about/agencies/asa/ocio/index.html,HHS_GitHub_Service_Desk@hhs.gov,,,U.S. Department of Health and Human Services,https://www.hhs.gov/,,
HHS-AHRQ,Agency for Healthcare Research and Quality (AHRQ),http://www.ahrq.gov/,,Agency for Healthcare Research and Quality,https://www.ahrq.gov/,U.S. Department of Health and Human Services,https://www.hhs.gov/,The Agency for Healthcare Research and Quality (AHRQ) is the lead Federal agency charged with improving the safety and quality of America's health care system.,
HHSDigitalMediaAPIPlatform,HHSDigitalMediaAPIPlatform,,,,,U.S. Department of Health and Human Services,https://www.hhs.gov/,,
HHSIDEAlab,HHS IDEA Lab,http://hhs.gov/idealab,,Office of the Chief Technology Officer,https://www.hhs.gov/cto/index.html,U.S. Department of Health and Human Services,https://www.hhs.gov/,The HHS Ignite Accelerator (HHS Idea Lab) is an internal innovation startup program for staff who want to improve the way the agency works.,
historyatstate,"Office of the Historian, U.S. Department of State",https://history.state.gov/,history@state.gov,Office of the Historian,https://history.state.gov/,U.S. Department of State,https://www.state.gov/,,
iadgov,NSA Cybersecurity Directorate,https://www.nsa.gov/cybersecurity,,National Security Agency,https://www.nsa.gov/,U.S. Department of Defense,https://www.defense.gov/,NSA Information Assurance is now NSA Cybersecurity Directorate,
IIP-Design,IIP-Design,,,,,,,,
IMDProjects,IMDProjects,,,,,,,,
imls,Institute of Museum and Library Services,https://www.imls.gov,,,,Institute of Museum and Library Services,https://www.imls.gov/,"IMLS is the primary source of federal support for the nation's 123,000 libraries and 35,000 museums.",
info-sharing-environment,Information Sharing Environment,http://www.ise.gov,outreach@ise.gov,,,Office of the Director of National Intelligence,https://www.dni.gov/,"The Information Sharing Environment (ISE) consists of the people, projects, systems, and agencies that enable responsible information sharing across the national security enterprise. The ISE was established by the Intelligence Reform and Terrorism Prevention Act of 2004 and a direct result of 9/11 Commission recommendations.",
informaticslab,CDC Public Health Informatics Lab,http://www.phiresearchlab.org,InformaticsLab@cdc.gov,Center for Disease Control and Prevention,https://www.cdc.gov/,U.S. Department of Health and Human Services,https://www.hhs.gov/,,https://www.philab.cdc.gov/
Innovation-Toolkit,Innovation-Toolkit,,,Technology Transformation Services,https://www.gsa.gov/about-us/organization/federal-acquisition-service/technology-transformation-services,General Services Administration,https://www.gsa.gov/,"Presidential Innovation Fellows (PIF), are part of the Technology Transformation Services (TTS) at the U.S. General Services Administration (GSA)",https://presidentialinnovationfellows.gov/
internationaltradeadministration,InternationalTradeAdministration,,,International Trade Administration,https://www.trade.gov/,U.S. Department of Commerce,https://www.commerce.gov/,,
ioos,US Integrated Ocean Observing System,http://ioos.github.io,,National Oceanic and Atmospheric Administration,https://www.noaa.gov/,U.S. Department of Commerce,https://www.commerce.gov/,Technical documentation and software supporting IOOS Data Management and Communications.,
IRSgov,Internal Revenue Service,https://irs.gov/,,Internal Revenue Service,https://www.irs.gov/,U.S. Department of the Treasury,https://home.treasury.gov/,,
keplergo,Kepler/K2 Community Tools,,,,,,,A list of software tools created by the community for use in preparing for Kepler and K2 observations and for analyzing the collected data. Note that these tools are not official NASA software products (with the exception of PyKE).,https://keplerscience.arc.nasa.gov/software.html
libraryofcongress,Library of Congress,https://www.loc.gov/connect,,Library of Congress,https://www.loc.gov/,U.S. House of Representatives,https://www.house.gov/,,
M-O-S-E-S,MOSES,http://militarymetaverse.org,,,,,,,
mcc-gov,Millennium Challenge Corporation,http://data.mcc.gov,opendata@mcc.gov,,,Millennium Challenge Corporation,https://www.mcc.gov/,,
missioncommand,Mission Command,https://missioncommand.github.io,,U.S. Army,https://www.army.mil/,U.S. Department of Defense,https://www.defense.gov/,,
nasa,NASA,http://nasa.github.io/,github@lists.nasa.gov,,,National Aeronautics and Space Administration,https://www.nasa.gov/,Read about NASA's Open Data initiative here: https://www.nasa.gov/open/,
nasa-develop,NASA-DEVELOP,http://develop.larc.nasa.gov/,,Langley Research Center,https://www.nasa.gov/langley,National Aeronautics and Space Administration,https://www.nasa.gov/,,
nasa-gibs,Global Imagery Browse Services,https://earthdata.nasa.gov/gibs,,,,National Aeronautics and Space Administration,https://www.nasa.gov/,,
NASA-rdt,NASA - GSFC - SSCO - Summer Interns 2014,,,Goddard Space Flight Center,https://www.nasa.gov/goddard,National Aeronautics and Space Administration,https://www.nasa.gov/,,
nasa-tournament-lab,NASA's Center of Excellence for Collaborative Innovation (CoECI) - NASA Tournament Lab,http://www.nasa.gov/coeci/ntl,nasa-coeci@mail.nasa.gov,Center of Excellence for Collaborative Innovation,https://www.nasa.gov/offices/COECI/index.html,National Aeronautics and Space Administration,https://www.nasa.gov/,The NASA Tournament Lab (NTL) provides solutions for NASA's mission by providing crowdsourced challenges.,
nasaworldwind,NASA WorldWind,https://worldwind.arc.nasa.gov,,Ames Research Center,https://www.nasa.gov/ames,National Aeronautics and Space Administration,https://www.nasa.gov/,,
NationalGuard,The National Guard,http://www.nationalguard.mil/,,U.S. Army,https://www.army.mil/,U.S. Department of Defense,https://www.defense.gov/,,
nationalparkservice,National Park Service,https://www.nps.gov,,National Park Service,https://www.nps.gov/index.htm,U.S. Department of the Interior,https://www.doi.gov/,,
NationalSecurityAgency,National Security Agency,https://www.nsa.gov/,,National Security Agency,https://www.nsa.gov/,U.S. Department of Defense,https://www.defense.gov/,Official organization account for the National Security Agency (NSA),
navadmc,NAVADMC,,,,,,,NoAA Environmental Software Infrastructure & Interoperability Group,
NCRN,National Capital Region Network,https://www.nps.gov/im/ncrn/index.htm,,National Park Service,https://www.nps.gov/index.htm,U.S. Department of the Interior,https://www.doi.gov/,NCRN Inventory and Monitoring Network,
NeoGeographyToolkit,NeoGeographyToolkit,http://irg.arc.nasa.gov/ngt,,Ames Research Center,https://www.nasa.gov/ames,National Aeronautics and Space Administration,https://www.nasa.gov/,,
nesii,NESII,http://www.esrl.noaa.gov/nesii/,ben.koziol@noaa.gov,National Oceanic and Atmospheric Administration,https://www.noaa.gov/,U.S. Department of Commerce,https://www.commerce.gov/,NOAA Environmental Software Infrastructure & Interoperability Group,
ngageoint,National Geospatial-Intelligence Agency,https://www.nga.mil/,,National Geospatial-Intelligence Agency,https://www.nga.mil/,U.S. Department of Defense,https://www.defense.gov/,Official organizational account for the NGA,
ngds,ngds,http://geothermaldata.org,,,,U.S. Department of Energy,https://www.energy.gov/,,
nhanes,NHANES,http://www.cdc.gov/nchs/nhanes.htm,,Centers for Disease Control and Prevention,https://www.cdc.gov/,U.S. Department of Health and Human Services,https://www.hhs.gov/,Informal group of public users of NHANES (National Health and Nutrition Examination Survey),
nidcd,"Brain Imaging and Modeling Lab, NIDCD/NIH",https://www.nidcd.nih.gov/research/labs/brain-imaging-and-modeling-section,,National Institute on Deafness and Other Communication Disorders,https://www.nidcd.nih.gov/,U.S. Department of Health and Human Services,https://www.hhs.gov/,Large-Scale Neural Simulator (LSNM),
NIEM,National Information Exchange Model,https://niem.gov,information@niem.gov,,,,,"NIEM is a community-driven, standards-based approach to exchanging information. NIEM, the National Information Exchange Model, is a partnership of the U.S. Department of Justice, Department of Homeland Security, and Department of Health and Human Services.",
NMB-Dev,NMB-Dev,,,,,National Mediation Board,https://nmb.gov/,The National Mediation Board facilitates the resolution of labor-management disputes in the rail and airline industries.,
NMML,NOAA Fisheries AFSC Marine Mammal Lab,http://www.afsc.noaa.gov/NMML/,,National Oceanic and Atmospheric Administration,https://www.noaa.gov/,U.S. Department of Commerce,https://www.commerce.gov/,"Marine Mammal Laboratory science developers at the NOAA Fisheries Alaska Fisheries Science Center in Seattle, WA",
noaa-gfdl,NOAA - Geophysical Fluid Dynamics Laboratory,http://www.gfdl.noaa.gov,gfdl.climate.model.info@noaa.gov,National Oceanic and Atmospheric Administration,https://www.noaa.gov/,U.S. Department of Commerce,https://www.commerce.gov/,"U.S Department of Commerce, National Oceanic and Atmospheric Administration",
NOAA-ORR-ERD,NOAA-ORR-ERD,http://response.restoration.noaa.gov,Chris.Barker@noaa.gov,National Oceanic and Atmospheric Administration,https://www.noaa.gov/,U.S. Department of Commerce,https://www.commerce.gov/,The Emergency Response Division (ERD) of NOAA's Office of Response and Restoration (OR&R) provides scientific expertise to support an incident response.,
nsacyber,NSA Cybersecurity Directorate,https://nsacyber.github.io/,,National Security Agency,https://www.nsa.gov/,U.S. Department of Defense,https://www.defense.gov/,"Official GitHub account for NSA Cybersecurity Directorate. Formerly branded as NSA Cybersecurity, NSA Information Assurance, & Information Assurance Directorate",
ntia,Code from NTIA,https://www.ntia.gov,,National Telecommunications and Information Administration,https://www.ntia.gov/,U.S. Department of Commerce,https://www.commerce.gov/,Code produced by NTIA including OSM and ITS. ITS website available at https://its.bldrdoc.gov,https://its.bldrdoc.gov
ombegov,Office of the Federal Chief Information Officer,,ofcio@omb.eop.gov,Office of Management and Budget,https://www.omb.gov,Executive Office of the President,https://www.whitehouse.gov/,,
Open-Sat,OpenSat - Core Flight System,https://cfs.gsfc.nasa.gov/,opensat.cfs@gmail.com,Goddard Space Flight Center,https://www.gsfc.nasa.gov/,National Aeronautics and Space Administration,https://www.nasa.gov/,A community for open source projects based on the NASA Goddard Space Flight Center's core Flight System (cFS).,
opengovplatform,Open Government Platform,http://opengovplatform.org,opengovplatform@gmail.com,,,,,?,
ozoneplatform,OZONE Platform,http://ozoneplatform.org,ozone-sales@nextcentury.com,,,,,OZONE Platform FOSS releases?,
peacecorps,Peace Corps,http://peacecorps.gov,,,,Peace Corps,https://www.peacecorps.gov/,Plug into Peace Corps' mission,
petsc,Portable Extensible Toolkit for Scientific computing,http://mcs.anl.gov/petsc,,Argonne National Laboratory,https://www.anl.gov/,U.S. Department of Energy,https://www.energy.gov/,PETSc is a suite of composable data structures and algorithms for scalable (parallel) solution of scientific applications modeled by PDEs.,
presidential-innovation-fellows,Presidential Innovation Fellows,https://presidentialinnovationfellows.gov,pif-team@pif.gov,Technology Transformation Services,https://www.gsa.gov/about-us/organization/federal-acquisition-service/technology-transformation-services,General Services Administration,https://www.gsa.gov/,"Presidential Innovation Fellows (PIF), are part of the Technology Transformation Services (TTS) at the U.S. General Services Administration (GSA)",
project-interoperability,Project Interoperability,http://project-interoperability.github.io,outreach@ise.gov,,,Office of the Director of National Intelligence,https://www.dni.gov/,Project Interoperability is an information interoperability start-up guide that makes tools and resources available to government and the private sector for improving information interoperability. An Information Sharing Environment initiative. We call it Project I/O for short. Visit our main account at @info-sharing-environment,
project-open-data,Project Open Data,https://project-open-data.cio.gov/,,,,Chief Information Officers Council,https://www.cio.gov/,"On January 14, 2019, the Foundations for Evidence-Based Policymaking Act (""Evidence Act""), which includes the OPEN Government Data Act, was signed into law. The Evidence Act requires the Office of Management and Budget, the Office of Government Information Services, and the General Services Administration to develop and maintain an online repository (Resources.data.gov) of tools, best practices, and schema standards to facilitate the adoption of open data practices across the Federal Government. Resources.data.gov has replaced Project Open Data.",Resources.data.gov
psns-imf,PSNS-IMF,,,,,,,Puget Sound Naval Shipyard and Intermediate Maintenance Facility (PSNS & IMF)?,
radiofreeasia,Radio Free Asia,http://www.rfa.org/about,contact@rfa.org,,,U.S. Agency for Global Media,https://www.usagm.gov/,,
redhawksdr,RedhawkSDR,http://redhawksdr.github.io,redhawksdr@redhawksdr.org,,,,,"REDHAWK is a software-defined radio (SDR) framework designed to support the development, deployment, and management of real-time software radio applications. To support the design and development of software applications, REDHAWK provides tools that allow development and testing of software modules called “Components” and composition of Components into “Waveform Applications” that can be seamlessly deployed on a single computer or multiple network-enabled computers.",
regulationsgov,regulationsgov,http://regulations.gov,,,,General Services Administration,https://www.gsa.gov/,"Regulations.gov is a U.S. Federal government web site that acts as an ""Internet portal and document repository"" that allows members of the public to participate in the rulemaking processes of some Federal government agencies.",
sbstusa,Social and Behavioral Sciences Team,http://sbst.gov,,National Science and Technology Council,https://www.whitehouse.gov/ostp/nstc/,Executive Office of the President,https://www.whitehouse.gov/,"Work associated with the SBST. The Social and Behavioral Sciences Team (SBST) was established in the US by Executive Order #13707 on September 15, 2015. It is no longer active as of January 21, 2017.",
screamlab,SCREAM Lab,,,,,,,Publicly cleared software developed or extended by the AFRL SCREAM Lab. Air Force Research Lab?,
SelectUSA,SelectUSA,,,International Trade Administration,https://www.trade.gov/,U.S. Department of Commerce,https://www.commerce.gov/,SelectUSA is the U.S. government-wide program established to facilitate business investment in the United States.,
SERVIR,SERVIR,https://www.servirglobal.net/,,,,,,"A joint development initiative of NASA and USAID, SERVIR works in partnership with leading regional organizations world-wide to help developing countries use information provided by Earth observing satellites and geospatial technologies for managing climate risks and land use.",
shareandprotect,ISE,http://github.com/info-sharing-environment,,,,Office of the Director of National Intelligence,https://www.dni.gov/,,
SIMP,SIMP,https://simp-project.com,simp-dev@googlegroups.com,National Security Agency,https://www.nsa.gov/,U.S. Department of Defense,https://www.defense.gov/,The System Integrity Management Platform. This project is only approved for material that is completely releasable to the public.,
SSAgov,SSAgov,,open.source@ssa.gov,,,Social Security Administration,https://www.ssa.gov/,,
state-hiu,Humanitarian Information Unit,https://hiu.state.gov,HIU_INFO@state.gov,Humanitarian Information Unit,https://hiu.state.gov,U.S. Department of State,https://www.state.gov/,"U.S. Department of State, Humanitarian Information Unit",
sunpy,SunPy,http://www.sunpy.org,,Goddard Space Flight Center,https://www.gsfc.nasa.gov/,National Aeronautics and Space Administration,https://www.nasa.gov/,sunpy is a community-developed free and open-source software package for solar physics. It aims to be a comprehensive data analysis environment that allows researchers within the field of solar physics to carry out their tasks with the minimal effort. The sunpy package was established on the 28th of March 2011 by a small group of scientists and developers at the NASA Goddard Space Flight Center.,
transcom,United States Transportation Command,https://www.ustranscom.mil,,,,U.S. Department of Defense,https://www.defense.gov/,,
us-bea,U.S. Bureau of Economic Analysis,http://www.bea.gov,webmaster@bea.gov,U.S. Bureau of Economic Analysis,https://www.bea.gov,U.S. Department of Commerce,https://www.commerce.gov/,,
US-CBP,U.S. Customs and Border Protection,https://www.cbp.gov/,,U.S. Customs and Border Protection,https://www.cbp.gov/,U.S. Department of Homeland Security,https://www.dhs.gov/,,
US-Department-of-the-Treasury,U.S. Department of the Treasury,https://treasury.gov,,,,U.S. Department of the Treasury,https://home.treasury.gov/,,
usagov,USA.gov,http://usa.gov,usagov-developers@gsa.gov,Technology Transformation Services,https://www.gsa.gov/about-us/organization/federal-acquisition-service/technology-transformation-services,General Services Administration,https://www.gsa.gov/,,
usaid,United States Agency for International Development,http://www.usaid.gov,opendata@usaid.gov,,,United States Agency for International Development,http://www.usaid.gov,,
usajobs,USAJOBS,https://www.usajobs.gov,,,,Office of Personnel Management,https://www.opm.gov/,,
usarmyresearchlab,CCDC Army Research Laboratory,http://www.arl.army.mil,,U.S. Army,https://www.army.mil/,U.S. Department of Defense,https://www.defense.gov/,,
usasearch,DigitalGov Search,http://search.digitalgov.gov/,search@support.digitalgov.gov,Technology Transformation Services,https://www.gsa.gov/about-us/organization/federal-acquisition-service/technology-transformation-services,General Services Administration,https://www.gsa.gov/,,
usbr,U.S. Bureau of Reclamation,https://www.usbr.gov/,,U.S. Bureau of Reclamation,https://www.usbr.gov/,U.S. Department of the Interior,https://www.doi.gov/,,
uscensusbureau,US Census Bureau,http://www.census.gov/developers/,cnmp.developers.list@census.gov,U.S. Census Bureau,https://www.census.gov/,U.S. Department of Commerce,https://www.commerce.gov/,,
uscis,USCIS,,,U.S. Citizenship and Immigration Services,https://www.uscis.gov/,U.S. Department of Homeland Security,https://www.dhs.gov/,,
usda,USDA,http://www.usda.gov/developer,,,,U.S. Department of Agriculture,https://www.usda.gov,,
usda-ars-agil,USDA-ARS-NEA-AGIL (Animal Genomics and Improvement Laboratory),http://www.ars.usda.gov/main/site_main.htm?modecode=80-42-05-30,,Agriculture Research Service,https://www.ars.usda.gov/,U.S. Department of Agriculture,https://www.usda.gov,,
usda-ars-gbru,USDA-ARS Genomics and Bioinformatics Research Unit,https://www.ars.usda.gov/southeast-area/stoneville-ms/genomics-and-bioinformatics-research/,,Agriculture Research Service,https://www.ars.usda.gov/,U.S. Department of Agriculture,https://www.usda.gov,,
usda-ars-ltar,USDA-ARS-LTAR,,,Agriculture Research Service,https://www.ars.usda.gov/,U.S. Department of Agriculture,https://www.usda.gov,,
